date,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,Energy,attr19,bool1,bool2,bool3,bool4,bool5,bool6,bool7,bool8,bool9,bool10
1/11/2016 17:00,1.14,5.14,191.9,8.1,893,9.31,8.634,1145.89,1985.32,16.378,27.59,14.67,0.15,6.78,0.45,20.6,3.45,22.87,422.56,24.85,0,0,0,1,0,0,0,0,1,1
1/11/2016 17:10,1.182868,5.258246,182.5786,8.254593,852.2147,9.377644,8.936155,1194.627,1999.573,16.21606,26.34337,14.12859,0.1529144,6.997405,0.4303212,20.5703,3.423302,22.52233,404.4023,23.73808,1,0,1,1,0,1,1,0,1,0
1/11/2016 17:20,1.164122,5.023983,188.6585,8.103024,870.6929,9.717017,8.610727,1173.765,1992.357,16.05478,26.95175,14.20364,0.150258,6.784481,0.4186726,20.27469,3.408989,22.81782,416.4938,24.45771,0,0,1,1,1,0,1,1,1,1
1/11/2016 17:30,1.118057,5.133799,196.8058,7.92095,912.6129,9.643086,8.204694,1219.127,2047.659,16.84436,26.74997,14.78967,0.1563251,6.965767,0.4244528,21.05998,3.512967,23.89848,432.8327,23.29208,1,1,0,0,1,1,0,1,1,0
1/11/2016 17:40,1.1365,4.96043,204.8717,7.905703,935.815,9.189082,8.46402,1159.439,1999.635,17.38962,27.33342,15.10489,0.1494966,7.065257,0.4124334,21.38825,3.64146,24.25055,446.5339,24.38764,0,0,0,1,1,1,0,1,0,1
1/11/2016 17:50,1.10184,5.091928,197.8506,8.032967,981.4889,9.60849,8.412831,1138.817,2010.075,16.59489,28.54799,15.67136,0.1443781,7.353224,0.4063194,20.4456,3.736327,25.07129,431.2848,25.19686,0,1,0,0,1,1,0,1,0,1
1/11/2016 18:00,1.099956,5.155831,199.4833,7.651687,1019.137,9.598852,8.558561,1103.295,2018.19,16.26164,29.66226,15.985,0.1402426,7.499177,0.4001435,20.47359,3.85702,25.62226,418.4438,24.19099,1,1,1,0,1,0,0,1,0,1
1/11/2016 18:10,1.068502,5.119427,202.0904,8.022943,1037.041,9.519333,8.370392,1094.307,1925.147,15.87403,28.35799,16.35048,0.1407831,7.861036,0.3812121,19.88895,3.890863,25.86903,401.6919,24.02875,1,1,1,1,1,0,0,1,1,1
1/11/2016 18:20,1.033296,5.037245,206.772,8.320278,1027.515,9.883177,8.354632,1124.135,1976.315,15.29378,29.40247,16.35457,0.1452467,7.563113,0.3711777,19.51396,3.841667,26.02102,393.5323,24.76181,1,1,0,0,1,1,0,1,1,1
1/11/2016 18:30,1.021871,4.872246,209.9791,8.083243,978.5674,10.29074,8.011482,1072.965,2074.486,15.40893,29.50829,15.66608,0.1489605,7.567245,0.35397,19.14567,3.753508,26.24122,374.7942,24.15307,0,0,1,0,0,1,1,0,1,1
